simulation_id,event_id,stage,stage_order,stage_time_steps,electricity_shortage_probability_pct,curtailment_probability_pct,maximum_electricity_shortage_mw,maximum_curtailment_power_mw,energy_not_served_mwh,curtailed_energy_mwh
lankao_mc_059,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.2927881330661395,0.0,11.903797513032407,0.0
lankao_mc_059,lankao_typical_event_001,灾后恢复,4,12,25.0,0.0,0.420211055991171,0.0,0.6395540039518708,0.0
lankao_mc_060,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_060,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.8131754711349093,0.0,1.0416692180130687,0.0
lankao_mc_060,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.537944713978223,0.0,13.205108245405492,0.0
lankao_mc_060,lankao_typical_event_001,灾后恢复,4,12,16.666666666666664,0.0,0.39387816536405934,0.0,0.5776772893831006,0.0
lankao_mc_061,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_061,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.8540793647249284,0.0,1.2515365745831644,0.0
lankao_mc_061,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5199289503890931,0.0,13.188782996132264,0.0
lankao_mc_061,lankao_typical_event_001,灾后恢复,4,12,25.0,0.0,0.5550607595122572,0.0,0.9721652084435248,0.0
lankao_mc_062,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_062,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,1.0746556952219606,0.0,1.5531231342619276,0.0
lankao_mc_062,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5831733975608266,0.0,13.452167757447162,0.0
lankao_mc_062,lankao_typical_event_001,灾后恢复,4,12,50.0,0.0,0.6069018730433993,0.0,1.1904892508161098,0.0
lankao_mc_063,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_063,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.7667229305932014,0.0,1.171097022963342,0.0
lankao_mc_063,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5061693636833635,0.0,13.574377725511033,0.0
lankao_mc_063,lankao_typical_event_001,灾后恢复,4,12,25.0,0.0,0.4693583967496787,0.0,0.728007643535219,0.0
lankao_mc_064,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_064,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.1124195515573003,0.0,1.7061250568174153,0.0
lankao_mc_064,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.7241341917732116,0.0,15.810374737077154,0.0
lankao_mc_064,lankao_typical_event_001,灾后恢复,4,12,58.333333333333336,0.0,0.7155790122481617,0.0,1.9947153551493377,0.0
lankao_mc_065,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_065,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.084811854224692,0.0,1.703235455192288,0.0
lankao_mc_065,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5291925691193609,0.0,14.153729313479037,0.0
lankao_mc_065,lankao_typical_event_001,灾后恢复,4,12,58.333333333333336,0.0,0.6635562996948586,0.0,2.096884713060769,0.0
lankao_mc_066,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_066,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.39683067449411585,0.0,0.39994282424533834,0.0
lankao_mc_066,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.3257598046908703,0.0,9.784100453744392,0.0
lankao_mc_066,lankao_typical_event_001,灾后恢复,4,12,16.666666666666664,8.333333333333332,0.303726409099235,0.1584422950868015,0.4255176368530077,0.1584422950868015
lankao_mc_067,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_067,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,1.0363726397290434,0.0,1.5318479142464223,0.0
lankao_mc_067,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.505745571215643,0.0,14.160331658751618,0.0
lankao_mc_067,lankao_typical_event_001,灾后恢复,4,12,50.0,0.0,0.6205827971857791,0.0,1.2953227607076316,0.0
lankao_mc_068,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_068,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.6904600320193108,0.0,0.8858549149387533,0.0
lankao_mc_068,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.3606907859686048,0.0,11.06568278049376,0.0
lankao_mc_068,lankao_typical_event_001,灾后恢复,4,12,25.0,0.0,0.33217569315704715,0.0,0.5932211567083835,0.0
lankao_mc_069,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_069,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,1.039328721573925,0.0,1.3487984291626156,0.0
lankao_mc_069,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5334993974501594,0.0,13.437406897573329,0.0
lankao_mc_069,lankao_typical_event_001,灾后恢复,4,12,33.33333333333333,8.333333333333332,0.5584323224321609,0.2503478033576237,0.9791568917424053,0.2503478033576237
lankao_mc_070,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_070,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.020573326662297,0.0,1.6898186343454444,0.0
lankao_mc_070,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.528596119907334,0.0,14.182910819531932,0.0
lankao_mc_070,lankao_typical_event_001,灾后恢复,4,12,16.666666666666664,8.333333333333332,0.41258975373515927,0.2893804986144377,0.5859109317957002,0.2893804986144377
lankao_mc_071,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
